Nº;CANTON:;NOMBRE DEL LOCAL:;DIRECCIÓN:;A1;A2;B3;B4;C5;C6;C7;C8;C9;D10;D11;E12;E13;E14;E15;F161;F17;F18;G19;G20;G21;H22;H23;H24;I25;I26;I27;I281;J291;J30;K31
139;SUCRE;SERVICIOS CONTABLES VIVIANA;Charapoto;1,91;1;2,2;1;1,09;2;3,14;3;2;3,33;3,14;5;3,14;2,67;1,5;48 HORAS;1,71;2,2;1;1,91;5;1,5;3,67;1,33;1,17;2,2;2,17;2;1500;1,75;4
140;ROCAFUERTE;TALLER MECÁNICO GARCÍA;Eloy Alfaro y Santa Gema;1,55;1,4;2,2;1;1,36;1,29;3,14;3,5;2;3,33;4;4,25;2,29;3,67;2;52 HORAS;1,71;3,2;1,33;1,64;5;1,67;3,67;1;1,17;2,4;1,67;2;1200;1,75;4
141;ROCAFUERTE;CONFECCIONES ZAMBRANO;Elias Cedeño Jerves;1,91;1,4;2,8;1;1,45;1,71;2,29;3,5;2;3,33;4;4,25;2,14;3;1,75;52 HORAS;2,14;3;1,17;1,55;5;1,5;3,67;1;1;2,6;1,67;2;1500;1,75;4
142;ROCAFUERTE;CONFECCIONES FREYISMON;Paquisa;1,64;2;2,8;1,4;1,73;2,43;3,14;3,5;2;3;3,57;4,25;2,86;2,17;1,88;48 HORAS;1,71;3;1,5;1,82;5;1,5;3,67;1;1,17;2;2;2;1000;2;4
143;ROCAFUERTE;VENTA DE PRODUCTOS AGRÍCOLAS ZAMBRANO;Calle Pedro Carbo;1,36;1;2,8;2;1,18;1,71;2,71;3,5;2;3,33;3,14;4,88;2,71;3,67;1,75;48 HORAS;1,57;3;1;1,82;5;1,67;3,67;1;1,33;2;2,17;2;1100;2;4
144;SUCRE;TALLER AUTOMOTRIZ GM;Av De las Américas - Charapotó;1,73;1,6;2,6;1,8;1,18;2;3,14;3,5;2;3,33;3,57;4,25;3;3,33;2;48 HORAS;1,71;2,6;1;1,73;5;1,83;3,67;1;1,33;2,4;2,17;2;1000;2;4
145;SUCRE;VENTA DE COCO BERMUDEZ;San Clemente;1,82;2;2,8;2;2;1,43;3,14;3,5;2;3,33;4;5;2,14;3,33;1,63;50 HORAS;1,57;3,2;1,17;1,82;5;2,17;3,67;1;1,33;2,4;2,5;2;1200;1,08;3,94
146;ROCAFUERTE;VETERINARIA MUNDO ANIMAL;Las Jaguas;1,64;1;2,4;1,4;2;2;2,71;3,5;2;3,33;4;5;3,29;3,67;1,88;48 HORAS;1,71;3,2;1,67;1,82;5;1,83;3,67;1;1,5;2,2;2,17;2;1200;1;4
147;ROCAFUERTE;VIVIAN SPORT;Calle Eloy Alfaro;1,91;1;2,8;1,4;1,91;2,57;3,57;3,5;2;3,33;4;4,13;2,71;2;2,13;50 HORAS;1,57;3,4;1;1,64;5;2;3,67;1,33;1,5;2;2,17;2;1100;1,75;4
148;ROCAFUERTE;CAFETERIA ZAMBRANO;Calle Juan Montalvo ;1,91;1,6;2,2;2;1,45;1,43;3,57;3,5;2;3,33;3,14;4,63;2,57;3;2;48 HORAS;1,57;3,6;1;1,82;5;2,17;3,67;1;1;2;2,5;2;800;1,92;4
